4-Straight 7 22 111111111,39
9-Straight 4 33 1111111111,38
10-Straight 333 11111111111,38
4 3333 2 11,38
13-Straight 33 2 111111111111,38
11-Straight 33 2222 111111,38
4-Straight 6 2 111111111111,37
5-Straight 5 4 3 22 1111,37
10-Straight 4 33 2 11111111,37
44 3 2222 1,37
7-Straight 3333 22 1111,37
7-Straight 5 4 2 111111111,37
4-Straight 5 333 111111,36
6-Straight 5 4 3 2 111111,36
4-Straight 6 33 22 1111,36
4-Straight 5 4 11111111111,36
15-Straight 3 22 1111111111111,35
5-Straight 44 33 111111,35
8-Straight 3333 11111111,35
11-Straight 3 2 111111111111111,35
55 222 1111,34
4-Straight 44 111111111111,34
9-Straight 44 22 11111111,34
11-Straight 4 2 11111111111111,34
8-Straight 44 222 111111,34
4-Straight 55 22 111111,33
4-Straight 5 333 2 1111,33
13-Straight 4 22 111111111111,33
8-Straight 5 2 1111111111111,33
5-Straight 5 4 3 11111111,32
9-Straight 4 2 11111111111111,32
7 3 222 1111,32
7-Straight 6 3 22 1111111,32
5-Straight 44 111111111111,32
9-Straight 4 3 1111111111111,32
4-Straight 444 2 111111,31
11-Straight 333 2 111111111,31
5-Straight 44 33 2 1111,31
5-Straight 6 22222 1111,31
6 4 2 11111111,31
7-Straight 5 3 2222 1111,30
4-Straight 44 22222 11,30
4-Straight 6 3 2222 111,30
4-Straight 6 33 11111111,30
33 2 111111111111,30
7-Straight 44 3 111111111,30
5 4 33 2 111,29
9-Straight 44 2 1111111111,29
8-Straight 3333 2 111111,29
5-Straight 6 2 111111111111,29
7 3 2 11111111,29
8-Straight 6 22 1111111111,29
7-Straight 4 333 1111111,28
8-Straight 5 22222 11111,28
4-Straight 7 3 22 111111,28
7 2222 11111,28
10-Straight 4 3 1111111111111,28
8-Straight 4 33 222 1111,28
6 33 11111111,28
7-Straight 5 33 111111111,26
13-Straight 3 2 111111111111111,26
5-Straight 3333 222 11,26
4-Straight 444 22 1111,26
7-Straight 5 3 111111111111,26
7-Straight 6 2222 111111,25
6-Straight 6 2 111111111111,25
4-Straight 4 3333 1111,25
5 44 2 11111,25
12-Straight 4 2222 11111111,25
4-Straight 6 3 11111111111,25
11-Straight 5 22 11111111111,25
10-Straight 33 11111111111111,25
7-Straight 6 3 2 111111111,24
4-Straight 7 3 2 11111111,24
6-Straight 44 111111111111,24
4-Straight 33333 2 111,24
5-Straight 5 4 2222 111,24
444 11111111,24
6-Straight 4 33 2222 11,23
7-Straight 33 222222 11,23
5-Straight 5 3 22222 11,23
10-Straight 33 22222 1111,23
9-Straight 33 11111111111111,23
8-Straight 6 222 11111111,23
5-Straight 7 22 111111111,23
55 3 2 11111,22
5-Straight 333 22222 1,22
5-Straight 6 3 11111111111,22
7-Straight 44 2222 1111,22
6 33 222 11,22
6-Straight 222222222 11,21
55 2 11111111,21
9-Straight 5 3 222 111111,21
12-Straight 2222222 111111,21
7-Straight 4 333 2 11111,21
4 22 111111111111,21
6-Straight 4 333 22 111,21
11-Straight 3 222222 11111,20
6-Straight 6 3 222 11111,20
7-Straight 5 33 22 11111,20
5-Straight 6 33 2 111111,20
6-Straight 4 2222222 11,20
8-Straight 6 3 2 111111111,19
12-Straight 4 3 22 111111111,19
12-Straight 4 3 2 11111111111,19
8-Straight 5 33 2 1111111,19
444 3 2 111,19
16-Straight 222 11111111111111,19
5-Straight 444 2 111111,19
10-Straight 5 3 2 1111111111,19
8-Straight 44 3 2 1111111,18
10-Straight 22222222 1111,18
14-Straight 3 2 111111111111111,18
8-Straight 333 2222 111,18
6 222222 11,18
7 22 111111111,18
6-Straight 44 3 222 111,18
5-Straight 5 333 111111,17
5-Straight 6 4 22 111111,17
5-Straight 5 4 11111111111,17
10-Straight 5 3 22 11111111,17
6-Straight 5 222222 111,17
7-Straight 44 111111111111,17
12-Straight 4 2 11111111111111,17
5-Straight 7 222 1111111,17
6-Straight 5 33 222 111,17
7-Straight 5 4 222 11111,16
11-Straight 5 2 1111111111111,16
4-Straight 7 2222 11111,16
4-Straight 6 4 3 2 11111,16
5-Straight 22 1111111111111111,16
15-Straight 22222 1111111111,16
33 2222222,16
4-Straight 22 1111111111111111,16
6-Straight 5 4 3 11111111,16
4-Straight 55 2 11111111,16
12-Straight 33 11111111111111,15
6 4 3 1111111,15
5 44 22 111,15
5 2222222 1,15
33333 22 1,15
9-Straight 4 222222 1111,15
15-Straight 3 2 111111111111111,15
5-Straight 55 2 11111111,15
11-Straight 33 11111111111111,15
9-Straight 3 2222222 111,15
444 3 11111,15
11-Straight 4 3 222 1111111,15
4-Straight 6 4 222 1111,15
10-Straight 4 33 1111111111,15
12-Straight 22 1111111111111111,15
6-Straight 6 22222 1111,14
9-Straight 22 1111111111111111,14
11-Straight 5 222 111111111,14
